issue_id,impact,description,help,url
aria-allowed-role,minor,"Ensures role attribute has an appropriate value for the element",minor,"ARIA role should be appropriate for the element",https://dequeuniversity.com/rules/axe/4.8/aria-allowed-role?application=playwright
aria-required-children,critical,"Ensures elements with an ARIA role that require child roles contain them",critical,"Certain ARIA roles must contain particular children",https://dequeuniversity.com/rules/axe/4.8/aria-required-children?application=playwright
heading-order,moderate,"Ensures the order of headings is semantically correct",moderate,"Heading levels should only increase by one",https://dequeuniversity.com/rules/axe/4.8/heading-order?application=playwright
html-has-lang,serious,"Ensures every HTML document has a lang attribute",serious,"<html> element must have a lang attribute",https://dequeuniversity.com/rules/axe/4.8/html-has-lang?application=playwright
landmark-one-main,moderate,"Ensures the document has a main landmark",moderate,"Document should have one main landmark",https://dequeuniversity.com/rules/axe/4.8/landmark-one-main?application=playwright
link-name,serious,"Ensures links have discernible text",serious,"Links must have discernible text",https://dequeuniversity.com/rules/axe/4.8/link-name?application=playwright
nested-interactive,serious,"Ensures interactive controls are not nested as they are not always announced by screen readers or can cause focus problems for assistive technologies",serious,"Interactive controls must not be nested",https://dequeuniversity.com/rules/axe/4.8/nested-interactive?application=playwright
region,moderate,"Ensures all page content is contained by landmarks",moderate,"All page content should be contained by landmarks",https://dequeuniversity.com/rules/axe/4.8/region?application=playwright
aria-allowed-attr,null,"Ensures an element's role supports its ARIA attributes",null,"Elements must only use supported ARIA attributes",https://dequeuniversity.com/rules/axe/4.8/aria-allowed-attr?application=playwright
aria-conditional-attr,null,"Ensures ARIA attributes are used as described in the specification of the element's role",null,"ARIA attributes must be used as specified for the element's role",https://dequeuniversity.com/rules/axe/4.8/aria-conditional-attr?application=playwright
aria-deprecated-role,null,"Ensures elements do not use deprecated roles",null,"Deprecated ARIA roles must not be used",https://dequeuniversity.com/rules/axe/4.8/aria-deprecated-role?application=playwright
aria-hidden-body,null,"Ensures aria-hidden="true" is not present on the document body.",null,"aria-hidden="true" must not be present on the document body",https://dequeuniversity.com/rules/axe/4.8/aria-hidden-body?application=playwright
aria-hidden-focus,null,"Ensures aria-hidden elements are not focusable nor contain focusable elements",null,"ARIA hidden element must not be focusable or contain focusable elements",https://dequeuniversity.com/rules/axe/4.8/aria-hidden-focus?application=playwright
aria-prohibited-attr,null,"Ensures ARIA attributes are not prohibited for an element's role",null,"Elements must only use permitted ARIA attributes",https://dequeuniversity.com/rules/axe/4.8/aria-prohibited-attr?application=playwright
aria-required-attr,null,"Ensures elements with ARIA roles have all required ARIA attributes",null,"Required ARIA attributes must be provided",https://dequeuniversity.com/rules/axe/4.8/aria-required-attr?application=playwright
aria-required-parent,null,"Ensures elements with an ARIA role that require parent roles are contained by them",null,"Certain ARIA roles must be contained by particular parents",https://dequeuniversity.com/rules/axe/4.8/aria-required-parent?application=playwright
aria-roles,null,"Ensures all elements with a role attribute use a valid value",null,"ARIA roles used must conform to valid values",https://dequeuniversity.com/rules/axe/4.8/aria-roles?application=playwright
aria-valid-attr-value,null,"Ensures all ARIA attributes have valid values",null,"ARIA attributes must conform to valid values",https://dequeuniversity.com/rules/axe/4.8/aria-valid-attr-value?application=playwright
aria-valid-attr,null,"Ensures attributes that begin with aria- are valid ARIA attributes",null,"ARIA attributes must conform to valid names",https://dequeuniversity.com/rules/axe/4.8/aria-valid-attr?application=playwright
avoid-inline-spacing,null,"Ensure that text spacing set through style attributes can be adjusted with custom stylesheets",null,"Inline text spacing must be adjustable with custom stylesheets",https://dequeuniversity.com/rules/axe/4.8/avoid-inline-spacing?application=playwright
button-name,null,"Ensures buttons have discernible text",null,"Buttons must have discernible text",https://dequeuniversity.com/rules/axe/4.8/button-name?application=playwright
bypass,null,"Ensures each page has at least one mechanism for a user to bypass navigation and jump straight to the content",null,"Page must have means to bypass repeated blocks",https://dequeuniversity.com/rules/axe/4.8/bypass?application=playwright
color-contrast,serious,"Ensures the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds",serious,"Elements must meet minimum color contrast ratio thresholds",https://dequeuniversity.com/rules/axe/4.8/color-contrast?application=playwright
document-title,null,"Ensures each HTML document contains a non-empty <title> element",null,"Documents must have <title> element to aid in navigation",https://dequeuniversity.com/rules/axe/4.8/document-title?application=playwright
duplicate-id-aria,null,"Ensures every id attribute value used in ARIA and in labels is unique",null,"IDs used in ARIA and labels must be unique",https://dequeuniversity.com/rules/axe/4.8/duplicate-id-aria?application=playwright
empty-heading,null,"Ensures headings have discernible text",null,"Headings should not be empty",https://dequeuniversity.com/rules/axe/4.8/empty-heading?application=playwright
image-alt,null,"Ensures <img> elements have alternate text or a role of none or presentation",null,"Images must have alternate text",https://dequeuniversity.com/rules/axe/4.8/image-alt?application=playwright
image-redundant-alt,null,"Ensure image alternative is not repeated as text",null,"Alternative text of images should not be repeated as text",https://dequeuniversity.com/rules/axe/4.8/image-redundant-alt?application=playwright
landmark-banner-is-top-level,null,"Ensures the banner landmark is at top level",null,"Banner landmark should not be contained in another landmark",https://dequeuniversity.com/rules/axe/4.8/landmark-banner-is-top-level?application=playwright
landmark-no-duplicate-banner,null,"Ensures the document has at most one banner landmark",null,"Document should not have more than one banner landmark",https://dequeuniversity.com/rules/axe/4.8/landmark-no-duplicate-banner?application=playwright
landmark-unique,null,"Landmarks should have a unique role or role/label/title (i.e. accessible name) combination",null,"Ensures landmarks are unique",https://dequeuniversity.com/rules/axe/4.8/landmark-unique?application=playwright
link-in-text-block,null,"Ensure links are distinguished from surrounding text in a way that does not rely on color",null,"Links must be distinguishable without relying on color",https://dequeuniversity.com/rules/axe/4.8/link-in-text-block?application=playwright
list,null,"Ensures that lists are structured correctly",null,"<ul> and <ol> must only directly contain <li>, <script> or <template> elements",https://dequeuniversity.com/rules/axe/4.8/list?application=playwright
listitem,null,"Ensures <li> elements are used semantically",null,"<li> elements must be contained in a <ul> or <ol>",https://dequeuniversity.com/rules/axe/4.8/listitem?application=playwright
meta-viewport-large,null,"Ensures <meta name="viewport"> can scale a significant amount",null,"Users should be able to zoom and scale the text up to 500%",https://dequeuniversity.com/rules/axe/4.8/meta-viewport-large?application=playwright
meta-viewport,null,"Ensures <meta name="viewport"> does not disable text scaling and zooming",null,"Zooming and scaling must not be disabled",https://dequeuniversity.com/rules/axe/4.8/meta-viewport?application=playwright
page-has-heading-one,null,"Ensure that the page, or at least one of its frames contains a level-one heading",null,"Page should contain a level-one heading",https://dequeuniversity.com/rules/axe/4.8/page-has-heading-one?application=playwright
role-img-alt,null,"Ensures [role="img"] elements have alternate text",null,"[role="img"] elements must have an alternative text",https://dequeuniversity.com/rules/axe/4.8/role-img-alt?application=playwright
scrollable-region-focusable,null,"Ensure elements that have scrollable content are accessible by keyboard",null,"Scrollable region must have keyboard access",https://dequeuniversity.com/rules/axe/4.8/scrollable-region-focusable?application=playwright
tabindex,null,"Ensures tabindex attribute values are not greater than 0",null,"Elements should not have tabindex greater than zero",https://dequeuniversity.com/rules/axe/4.8/tabindex?application=playwright
empty-table-header,null,"Ensures table headers have discernible text",null,"Table header text should not be empty",https://dequeuniversity.com/rules/axe/4.8/empty-table-header?application=playwright
scope-attr-valid,null,"Ensures the scope attribute is used correctly on tables",null,"scope attribute should be used correctly",https://dequeuniversity.com/rules/axe/4.8/scope-attr-valid?application=playwright
table-duplicate-name,null,"Ensure the <caption> element does not contain the same text as the summary attribute",null,"tables should not have the same summary and caption",https://dequeuniversity.com/rules/axe/4.8/table-duplicate-name?application=playwright
td-headers-attr,null,"Ensure that each cell in a table that uses the headers attribute refers only to other cells in that table",null,"Table cells that use the headers attribute must only refer to cells in the same table",https://dequeuniversity.com/rules/axe/4.8/td-headers-attr?application=playwright
th-has-data-cells,null,"Ensure that <th> elements and elements with role=columnheader/rowheader have data cells they describe",null,"Table headers in a data table must refer to data cells",https://dequeuniversity.com/rules/axe/4.8/th-has-data-cells?application=playwright
form-field-multiple-labels,null,"Ensures form field does not have multiple label elements",null,"Form field must not have multiple label elements",https://dequeuniversity.com/rules/axe/4.8/form-field-multiple-labels?application=playwright
label-title-only,null,"Ensures that every form element has a visible label and is not solely labeled using hidden labels, or the title or aria-describedby attributes",null,"Form elements should have a visible label",https://dequeuniversity.com/rules/axe/4.8/label-title-only?application=playwright
label,null,"Ensures every form element has a label",null,"Form elements must have labels",https://dequeuniversity.com/rules/axe/4.8/label?application=playwright
aria-command-name,null,"Ensures every ARIA button, link and menuitem has an accessible name",null,"ARIA commands must have an accessible name",https://dequeuniversity.com/rules/axe/4.8/aria-command-name?application=playwright
aria-input-field-name,null,"Ensures every ARIA input field has an accessible name",null,"ARIA input fields must have an accessible name",https://dequeuniversity.com/rules/axe/4.8/aria-input-field-name?application=playwright
landmark-main-is-top-level,moderate,"Ensures the main landmark is at top level",moderate,"Main landmark should not be contained in another landmark",https://dequeuniversity.com/rules/axe/4.8/landmark-main-is-top-level?application=playwright
landmark-no-duplicate-main,moderate,"Ensures the document has at most one main landmark",moderate,"Document should not have more than one main landmark",https://dequeuniversity.com/rules/axe/4.8/landmark-no-duplicate-main?application=playwright
svg-img-alt,serious,"Ensures <svg> elements with an img, graphics-document or graphics-symbol role have an accessible text",serious,"<svg> elements with an img role must have an alternative text",https://dequeuniversity.com/rules/axe/4.8/svg-img-alt?application=playwright
select-name,null,"Ensures select element has an accessible name",null,"Select element must have an accessible name",https://dequeuniversity.com/rules/axe/4.8/select-name?application=playwright
landmark-complementary-is-top-level,moderate,"Ensures the complementary landmark or aside is at top level",moderate,"Aside should not be contained in another landmark",https://dequeuniversity.com/rules/axe/4.8/landmark-complementary-is-top-level?application=playwright
aria-toggle-field-name,null,"Ensures every ARIA toggle field has an accessible name",null,"ARIA toggle fields must have an accessible name",https://dequeuniversity.com/rules/axe/4.8/aria-toggle-field-name?application=playwright
autocomplete-valid,null,"Ensure the autocomplete attribute is correct and suitable for the form field",null,"autocomplete attribute must be used correctly",https://dequeuniversity.com/rules/axe/4.8/autocomplete-valid?application=playwright
frame-tested,null,"Ensures <iframe> and <frame> elements contain the axe-core script",null,"Frames should be tested with axe-core",https://dequeuniversity.com/rules/axe/4.8/frame-tested?application=playwright
frame-title-unique,null,"Ensures <iframe> and <frame> elements contain a unique title attribute",null,"Frames must have a unique title attribute",https://dequeuniversity.com/rules/axe/4.8/frame-title-unique?application=playwright
frame-title,null,"Ensures <iframe> and <frame> elements have an accessible name",null,"Frames must have an accessible name",https://dequeuniversity.com/rules/axe/4.8/frame-title?application=playwright
html-lang-valid,null,"Ensures the lang attribute of the <html> element has a valid value",null,"<html> element must have a valid value for the lang attribute",https://dequeuniversity.com/rules/axe/4.8/html-lang-valid?application=playwright
input-button-name,null,"Ensures input buttons have discernible text",null,"Input buttons must have discernible text",https://dequeuniversity.com/rules/axe/4.8/input-button-name?application=playwright
landmark-contentinfo-is-top-level,null,"Ensures the contentinfo landmark is at top level",null,"Contentinfo landmark should not be contained in another landmark",https://dequeuniversity.com/rules/axe/4.8/landmark-contentinfo-is-top-level?application=playwright
landmark-no-duplicate-contentinfo,null,"Ensures the document has at most one contentinfo landmark",null,"Document should not have more than one contentinfo landmark",https://dequeuniversity.com/rules/axe/4.8/landmark-no-duplicate-contentinfo?application=playwright
presentation-role-conflict,null,"Elements marked as presentational should not have global ARIA or tabindex to ensure all screen readers ignore them",null,"Ensure elements marked as presentational are consistently ignored",https://dequeuniversity.com/rules/axe/4.8/presentation-role-conflict?application=playwright
aria-treeitem-name,null,"Ensures every ARIA treeitem node has an accessible name",null,"ARIA treeitem nodes should have an accessible name",https://dequeuniversity.com/rules/axe/4.8/aria-treeitem-name?application=playwright
