issue_id,issue_desc,issue_impact,issue_help,issue_url,issue_name,issue_filter,issue_overall_impact,issue_note_overall_impact_hdv,issue_severity,issue_data_related,issue_data_related_rule,issue_pour_category,issue_wcag_level,issue_difficulty_to_fix,issue_missing_label_related,resource_category,violations,passes,total_checks
accesskeys,Ensures every accesskey attribute value is unique,serious,accesskey attribute value should be unique,https://dequeuniversity.com/rules/axe/4.9/accesskeys?application=playwright,Accesskey Not Unique,,minor,people can still access this,not severe,O,related to data download,,,Moderate,X,data-portal,7,396,403
accesskeys,Ensures every accesskey attribute value is unique,serious,accesskey attribute value should be unique,https://dequeuniversity.com/rules/axe/4.9/accesskeys?application=playwright,Accesskey Not Unique,,minor,people can still access this,not severe,O,related to data download,,,Moderate,X,government,8,214,222
accesskeys,Ensures every accesskey attribute value is unique,serious,accesskey attribute value should be unique,https://dequeuniversity.com/rules/axe/4.9/accesskeys?application=playwright,Accesskey Not Unique,,minor,people can still access this,not severe,O,related to data download,,,Moderate,X,journal,21,169,190
area-alt,Ensures <area> elements of image maps have alternate text,critical,Active <area> elements must have alternate text,https://dequeuniversity.com/rules/axe/4.9/area-alt?application=playwright,Area Has No Label,,critical,,severe,X,-,,A,Difficult,O,data-portal,4264,2525,6789
area-alt,Ensures <area> elements of image maps have alternate text,critical,Active <area> elements must have alternate text,https://dequeuniversity.com/rules/axe/4.9/area-alt?application=playwright,Area Has No Label,,critical,,severe,X,-,,A,Difficult,O,government,2,446,448
area-alt,Ensures <area> elements of image maps have alternate text,critical,Active <area> elements must have alternate text,https://dequeuniversity.com/rules/axe/4.9/area-alt?application=playwright,Area Has No Label,,critical,,severe,X,-,,A,Difficult,O,journal,136,48,184
aria-allowed-attr,Ensures an element's role supports its ARIA attributes,,Elements must only use supported ARIA attributes,https://dequeuniversity.com/rules/axe/4.9/aria-allowed-attr?application=playwright,ARIA With Error (unsupported attributes),,critical,,severe,O,related to any data aspects,,A,Difficult,X,data-portal,386,13424,13810
aria-allowed-attr,Ensures an element's role supports its ARIA attributes,,Elements must only use supported ARIA attributes,https://dequeuniversity.com/rules/axe/4.9/aria-allowed-attr?application=playwright,ARIA With Error (unsupported attributes),,critical,,severe,O,related to any data aspects,,A,Difficult,X,government,283,14083,14366
aria-allowed-attr,Ensures an element's role supports its ARIA attributes,,Elements must only use supported ARIA attributes,https://dequeuniversity.com/rules/axe/4.9/aria-allowed-attr?application=playwright,ARIA With Error (unsupported attributes),,critical,,severe,O,related to any data aspects,,A,Difficult,X,journal,2011,55015,57026
aria-allowed-role,Ensures role attribute has an appropriate value for the element,,ARIA role should be appropriate for the element,https://dequeuniversity.com/rules/axe/4.9/aria-allowed-role?application=playwright,ARIA With Error (disallowed roles),,minor,,severe,O,related to any data aspects,,,Moderate,X,data-portal,253,40852,41105
aria-allowed-role,Ensures role attribute has an appropriate value for the element,,ARIA role should be appropriate for the element,https://dequeuniversity.com/rules/axe/4.9/aria-allowed-role?application=playwright,ARIA With Error (disallowed roles),,minor,,severe,O,related to any data aspects,,,Moderate,X,government,145,22645,22790
aria-allowed-role,Ensures role attribute has an appropriate value for the element,,ARIA role should be appropriate for the element,https://dequeuniversity.com/rules/axe/4.9/aria-allowed-role?application=playwright,ARIA With Error (disallowed roles),,minor,,severe,O,related to any data aspects,,,Moderate,X,journal,754,112594,113348
aria-command-name,"Ensures every ARIA button, link and menuitem has an accessible name",,ARIA commands must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-command-name?application=playwright,ARIA Role Has No Label,,critical,,severe,O,related to data filter/search,,A,Difficult,O,data-portal,46,1244,1290
aria-command-name,"Ensures every ARIA button, link and menuitem has an accessible name",,ARIA commands must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-command-name?application=playwright,ARIA Role Has No Label,,critical,,severe,O,related to data filter/search,,A,Difficult,O,government,7,1265,1272
aria-command-name,"Ensures every ARIA button, link and menuitem has an accessible name",,ARIA commands must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-command-name?application=playwright,ARIA Role Has No Label,,critical,,severe,O,related to data filter/search,,A,Difficult,O,journal,881,3557,4438
aria-conditional-attr,Ensures ARIA attributes are used as described in the specification of the element's role,,ARIA attributes must be used as specified for the element's role,https://dequeuniversity.com/rules/axe/4.9/aria-conditional-attr?application=playwright,ARIA With Error (wrong attribute usage),,critical,,severe,O,related to any data aspects,,A,Difficult,X,data-portal,35,13775,13810
aria-conditional-attr,Ensures ARIA attributes are used as described in the specification of the element's role,,ARIA attributes must be used as specified for the element's role,https://dequeuniversity.com/rules/axe/4.9/aria-conditional-attr?application=playwright,ARIA With Error (wrong attribute usage),,critical,,severe,O,related to any data aspects,,A,Difficult,X,government,0,14366,14366
aria-conditional-attr,Ensures ARIA attributes are used as described in the specification of the element's role,,ARIA attributes must be used as specified for the element's role,https://dequeuniversity.com/rules/axe/4.9/aria-conditional-attr?application=playwright,ARIA With Error (wrong attribute usage),,critical,,severe,O,related to any data aspects,,A,Difficult,X,journal,0,57026,57026
aria-deprecated-role,Ensures elements do not use deprecated roles,,Deprecated ARIA roles must not be used,https://dequeuniversity.com/rules/axe/4.9/aria-deprecated-role?application=playwright,ARIA With Error (deprecated roles),,minor,,severe,O,related to any data aspects,,A,Easy,X,data-portal,0,13102,13102
aria-deprecated-role,Ensures elements do not use deprecated roles,,Deprecated ARIA roles must not be used,https://dequeuniversity.com/rules/axe/4.9/aria-deprecated-role?application=playwright,ARIA With Error (deprecated roles),,minor,,severe,O,related to any data aspects,,A,Easy,X,government,0,10894,10894
aria-deprecated-role,Ensures elements do not use deprecated roles,,Deprecated ARIA roles must not be used,https://dequeuniversity.com/rules/axe/4.9/aria-deprecated-role?application=playwright,ARIA With Error (deprecated roles),,minor,,severe,O,related to any data aspects,,A,Easy,X,journal,0,46875,46875
aria-dialog-name,Ensures every ARIA dialog and alertdialog node has an accessible name,serious,ARIA dialog and alertdialog nodes should have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-dialog-name?application=playwright,Dialog Has No Label,,critical,,severe,O,can be related to data perceive,,,Difficult,O,data-portal,14,54,68
aria-dialog-name,Ensures every ARIA dialog and alertdialog node has an accessible name,serious,ARIA dialog and alertdialog nodes should have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-dialog-name?application=playwright,Dialog Has No Label,,critical,,severe,O,can be related to data perceive,,,Difficult,O,government,15,19,34
aria-dialog-name,Ensures every ARIA dialog and alertdialog node has an accessible name,serious,ARIA dialog and alertdialog nodes should have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-dialog-name?application=playwright,Dialog Has No Label,,critical,,severe,O,can be related to data perceive,,,Difficult,O,journal,138,656,794
aria-hidden-body,"Ensures aria-hidden=true"" is not present on the document body.""",,"aria-hidden=true"" must not be present on the document body""",https://dequeuniversity.com/rules/axe/4.9/aria-hidden-body?application=playwright,Body Uses Aria Hidden,,moderate,,severe,O,related to any data aspects,,A,Easy,X,data-portal,0,3052,3052
aria-hidden-body,"Ensures aria-hidden=true"" is not present on the document body.""",,"aria-hidden=true"" must not be present on the document body""",https://dequeuniversity.com/rules/axe/4.9/aria-hidden-body?application=playwright,Body Uses Aria Hidden,,moderate,,severe,O,related to any data aspects,,A,Easy,X,government,0,852,852
aria-hidden-body,"Ensures aria-hidden=true"" is not present on the document body.""",,"aria-hidden=true"" must not be present on the document body""",https://dequeuniversity.com/rules/axe/4.9/aria-hidden-body?application=playwright,Body Uses Aria Hidden,,moderate,,severe,O,related to any data aspects,,A,Easy,X,journal,1,5082,5083
aria-hidden-focus,Ensures aria-hidden elements are not focusable nor contain focusable elements,,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.9/aria-hidden-focus?application=playwright,Aria Hidden Has Focusable Element,,moderate,,severe,O,related to any data aspects,,A,Moderate,X,data-portal,73,16172,16245
aria-hidden-focus,Ensures aria-hidden elements are not focusable nor contain focusable elements,,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.9/aria-hidden-focus?application=playwright,Aria Hidden Has Focusable Element,,moderate,,severe,O,related to any data aspects,,A,Moderate,X,government,191,9879,10070
aria-hidden-focus,Ensures aria-hidden elements are not focusable nor contain focusable elements,,ARIA hidden element must not be focusable or contain focusable elements,https://dequeuniversity.com/rules/axe/4.9/aria-hidden-focus?application=playwright,Aria Hidden Has Focusable Element,,moderate,,severe,O,related to any data aspects,,A,Moderate,X,journal,615,67009,67624
aria-input-field-name,Ensures every ARIA input field has an accessible name,serious,ARIA input fields must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-input-field-name?application=playwright,Aria Input Has No Label,,critical,,severe,O,related to data filter/search,,A,Difficult,O,data-portal,73,51,124
aria-input-field-name,Ensures every ARIA input field has an accessible name,serious,ARIA input fields must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-input-field-name?application=playwright,Aria Input Has No Label,,critical,,severe,O,related to data filter/search,,A,Difficult,O,government,26,20,46
aria-input-field-name,Ensures every ARIA input field has an accessible name,serious,ARIA input fields must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-input-field-name?application=playwright,Aria Input Has No Label,,critical,,severe,O,related to data filter/search,,A,Difficult,O,journal,101,22,123
aria-progressbar-name,Ensures every ARIA progressbar node has an accessible name,serious,ARIA progressbar nodes must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-progressbar-name?application=playwright,Progress Bar Has No Label,,minor,likely does not affect to data access,not severe,X,likely not directly related to data itself,,A,Difficult,O,data-portal,12,1,13
aria-progressbar-name,Ensures every ARIA progressbar node has an accessible name,serious,ARIA progressbar nodes must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-progressbar-name?application=playwright,Progress Bar Has No Label,,minor,likely does not affect to data access,not severe,X,likely not directly related to data itself,,A,Difficult,O,government,6,1,7
aria-progressbar-name,Ensures every ARIA progressbar node has an accessible name,serious,ARIA progressbar nodes must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-progressbar-name?application=playwright,Progress Bar Has No Label,,minor,likely does not affect to data access,not severe,X,likely not directly related to data itself,,A,Difficult,O,journal,20,0,20
aria-prohibited-attr,Ensures ARIA attributes are not prohibited for an element's role,,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.9/aria-prohibited-attr?application=playwright,ARIA With Error (disallowed attributes),,critical,,severe,O,related to any data aspects,,A,Difficult,X,data-portal,235,12039,12274
aria-prohibited-attr,Ensures ARIA attributes are not prohibited for an element's role,,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.9/aria-prohibited-attr?application=playwright,ARIA With Error (disallowed attributes),,critical,,severe,O,related to any data aspects,,A,Difficult,X,government,79,13290,13369
aria-prohibited-attr,Ensures ARIA attributes are not prohibited for an element's role,,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.9/aria-prohibited-attr?application=playwright,ARIA With Error (disallowed attributes),,critical,,severe,O,related to any data aspects,,A,Difficult,X,journal,388,54333,54721
aria-required-attr,Ensures elements with ARIA roles have all required ARIA attributes,,Required ARIA attributes must be provided,https://dequeuniversity.com/rules/axe/4.9/aria-required-attr?application=playwright,ARIA With Error (required attributes missing),,critical,,severe,O,related to any data aspects,,A,Difficult,O,data-portal,73,13030,13103
aria-required-attr,Ensures elements with ARIA roles have all required ARIA attributes,,Required ARIA attributes must be provided,https://dequeuniversity.com/rules/axe/4.9/aria-required-attr?application=playwright,ARIA With Error (required attributes missing),,critical,,severe,O,related to any data aspects,,A,Difficult,O,government,14,10880,10894
aria-required-attr,Ensures elements with ARIA roles have all required ARIA attributes,,Required ARIA attributes must be provided,https://dequeuniversity.com/rules/axe/4.9/aria-required-attr?application=playwright,ARIA With Error (required attributes missing),,critical,,severe,O,related to any data aspects,,A,Difficult,O,journal,11,49660,49671
aria-required-children,Ensures elements with an ARIA role that require child roles contain them,,Certain ARIA roles must contain particular children,https://dequeuniversity.com/rules/axe/4.9/aria-required-children?application=playwright,ARIA Role Bad Structre (no required children exist),,critical,,severe,O,related to any data aspects,,A,Difficult,X,data-portal,151,3052,3203
aria-required-children,Ensures elements with an ARIA role that require child roles contain them,,Certain ARIA roles must contain particular children,https://dequeuniversity.com/rules/axe/4.9/aria-required-children?application=playwright,ARIA Role Bad Structre (no required children exist),,critical,,severe,O,related to any data aspects,,A,Difficult,X,government,55,209,264
aria-required-children,Ensures elements with an ARIA role that require child roles contain them,,Certain ARIA roles must contain particular children,https://dequeuniversity.com/rules/axe/4.9/aria-required-children?application=playwright,ARIA Role Bad Structre (no required children exist),,critical,,severe,O,related to any data aspects,,A,Difficult,X,journal,389,1233,1622
aria-required-parent,Ensures elements with an ARIA role that require parent roles are contained by them,,Certain ARIA roles must be contained by particular parents,https://dequeuniversity.com/rules/axe/4.9/aria-required-parent?application=playwright,ARIA Role Bad Structre (no required parent exist),,critical,,severe,O,related to any data aspects,,A,Difficult,X,data-portal,201,4479,4680
aria-required-parent,Ensures elements with an ARIA role that require parent roles are contained by them,,Certain ARIA roles must be contained by particular parents,https://dequeuniversity.com/rules/axe/4.9/aria-required-parent?application=playwright,ARIA Role Bad Structre (no required parent exist),,critical,,severe,O,related to any data aspects,,A,Difficult,X,government,25,868,893
aria-required-parent,Ensures elements with an ARIA role that require parent roles are contained by them,,Certain ARIA roles must be contained by particular parents,https://dequeuniversity.com/rules/axe/4.9/aria-required-parent?application=playwright,ARIA Role Bad Structre (no required parent exist),,critical,,severe,O,related to any data aspects,,A,Difficult,X,journal,493,6164,6657
aria-roles,Ensures all elements with a role attribute use a valid value,,ARIA roles used must conform to valid values,https://dequeuniversity.com/rules/axe/4.9/aria-roles?application=playwright,ARIA With Error (role with invalid value),,critical,,severe,O,related to any data aspects,,A,Difficult,X,data-portal,63,13039,13102
aria-roles,Ensures all elements with a role attribute use a valid value,,ARIA roles used must conform to valid values,https://dequeuniversity.com/rules/axe/4.9/aria-roles?application=playwright,ARIA With Error (role with invalid value),,critical,,severe,O,related to any data aspects,,A,Difficult,X,government,12,10882,10894
aria-roles,Ensures all elements with a role attribute use a valid value,,ARIA roles used must conform to valid values,https://dequeuniversity.com/rules/axe/4.9/aria-roles?application=playwright,ARIA With Error (role with invalid value),,critical,,severe,O,related to any data aspects,,A,Difficult,X,journal,63,46812,46875
aria-text,"Ensures role=text"" is used on elements with no focusable descendants""",,"role=text"" should have no focusable descendants""",https://dequeuniversity.com/rules/axe/4.9/aria-text?application=playwright,,,,,,,,,,,,journal,0,1,1
aria-toggle-field-name,Ensures every ARIA toggle field has an accessible name,,ARIA toggle fields must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-toggle-field-name?application=playwright,Toggle Has No Label,,critical,,severe,O,related to any data aspects,,A,Difficult,O,data-portal,4,113,117
aria-toggle-field-name,Ensures every ARIA toggle field has an accessible name,,ARIA toggle fields must have an accessible name,https://dequeuniversity.com/rules/axe/4.9/aria-toggle-field-name?application=playwright,Toggle Has No Label,,critical,,severe,O,related to any data aspects,,A,Difficult,O,government,1,20,21
